index,wass_dist
975.0,1.453593139
976.0,11.95792612
977.0,6.746606147
978.0,2.482243134
979.0,1.006942534
980.0,3.537755279
982.0,0.965155478
984.0,3.081787295
985.0,1.60549847
986.0,2.664641639
987.0,6.918586974
988.0,1.208664343
989.0,7.311402775
990.0,2.444742937
991.0,0.326653913
992.0,1.693490881
993.0,1.878726707
994.0,10.60225664
995.0,2.13237496
996.0,4.222496148
997.0,7.401644479
998.0,1.201724789
999.0,1.683255245
1000.0,5.923636484
1001.0,2.132634486
1002.0,2.848218364
1003.0,1.15390575
1004.0,1.601038994
1005.0,6.340430569
1006.0,3.550288116
1007.0,1.656561772
1008.0,1.668581651
1009.0,0.663767148
1012.0,0.746800773
1013.0,1.96262325
1014.0,9.285948632
1015.0,16.81568303
1016.0,1.513296336
1017.0,1.510693032
1018.0,0.617988663
1019.0,3.141940486
1020.0,5.303224748
1023.0,1.348800548
1024.0,0.756643809
1025.0,1.173626031
1026.0,1.042290166
1028.0,9.007613614
1030.0,14.5984857
1031.0,2.19220172
1033.0,0.504826455
1034.0,3.567776289
1035.0,5.520977488
1036.0,1.212604831
1037.0,0.984705785
1038.0,1.608105657
1039.0,1.703392001
1040.0,7.807503033
1041.0,0.509649667
1043.0,1.010360495
1044.0,1.402797673
1045.0,1.293855771
1047.0,1.216759402
1048.0,5.743903547
1049.0,2.797394482
1050.0,0.793550336
1051.0,1.986876806
1052.0,1.820133126
1053.0,3.038115508
1054.0,1.844791224
1055.0,11.08922334
1056.0,11.05135541
1057.0,0.334360953
1058.0,0.904838646
1059.0,5.15214395
1060.0,2.048485846
1061.0,0.756473392
1062.0,1.553391129
1063.0,1.542659028
1064.0,1.305596102
1065.0,0.890217073
1066.0,3.150442269
1067.0,1.354243896
1068.0,1.267690722
1069.0,6.222225578
1070.0,1.459606272
1071.0,1.11222036
1072.0,1.78755567
1073.0,2.459710862
1074.0,1.796166568
1075.0,0.462800387
1076.0,0.360940252
1077.0,2.217956546
1078.0,3.251011914
1079.0,0.358492102
1080.0,2.725178574
1081.0,5.381908893
1082.0,1.493606034
1083.0,1.279765778
1084.0,0.769713426
1085.0,2.709159482
1086.0,4.037862604
1087.0,9.492345615
1088.0,9.738766741
1089.0,2.835779259
1090.0,0.972118849
1091.0,1.892759333
1093.0,1.432351971
1094.0,6.197171486
1095.0,13.9985409
1096.0,0.644123913
1097.0,0.649246842
1098.0,1.513070289
1099.0,1.822513147
1100.0,0.339582912
1101.0,9.013040238
1102.0,0.243704678
1103.0,0.984186409
1104.0,1.253282031
1105.0,0.706889866
1107.0,0.329139192
1109.0,6.42638381
1110.0,19.79352027
1111.0,0.717812914
1112.0,0.51494275
1113.0,6.117766698
1114.0,4.328268197
1115.0,14.76649155
1116.0,14.22012341
1117.0,5.321585247
1118.0,1.404702691
1119.0,9.748018776
1120.0,1.710577454
1121.0,3.005209993
1122.0,3.827722651
1123.0,1.006672706
1124.0,0.619197854
1125.0,1.345220818
1126.0,0.688061415
1127.0,0.739223149
1128.0,1.298871961
1129.0,5.048384243
1130.0,4.978138785
1131.0,9.442061063
1132.0,8.071301389
1133.0,1.009537496
1134.0,2.229767375
1135.0,6.813817702
1136.0,0.455431055
1137.0,1.075684014
1138.0,3.387022298
1139.0,2.328364984
1140.0,3.782040757
1141.0,1.561718175
1142.0,10.17594
1143.0,3.081072002
1144.0,1.044202668
1145.0,1.832819295
1146.0,1.553933744
1147.0,0.885855189
1148.0,2.997455278
1149.0,10.11810395
1150.0,0.581033378
1151.0,1.601980382
1152.0,0.683057196
1153.0,1.534207809
1154.0,1.604146456
1155.0,1.663346158
1156.0,0.530479724
1158.0,4.437291499
1159.0,1.448742966
1160.0,12.22661813
1161.0,1.139031151
1162.0,1.532427195
1163.0,23.81558823
1164.0,0.86306838
1165.0,6.52621414
1166.0,2.03210722
1167.0,3.791311009
1168.0,1.634717704
1169.0,1.488566172
1170.0,6.606701764
